id;product;name;quality;prefecture;region;longitude;latitude
89;Τυριά;Μανούρι;ΠΟΠ;Καστοριάς;Δυτικής Μακεδονίας;21.15733756;40.46372934
90;Τυριά;Κεφαλογραβιέρα;ΠΟΠ;Καστοριάς;Δυτικής Μακεδονίας;21.15733756;40.46372934
91;Τυριά;Φέτα;ΠΟΠ;Κεντρικού Τομέα Αθηνών;Αττικής;23.76417885;37.99944429
92;Φρούτα και Λαχανικά;Κουμ-κουάτ Κέρκυρας;ΠΓΕ;Κέρκυρας;Ιονίων νήσων;19.84994603;39.62289893
93;Ελαιόλαδο;Άγιος Ματθαίος Κέρκυρας;ΠΓΕ;Κέρκυρας;Ιονίων νήσων;19.84994603;39.62289893
94;Ελαιόλαδο;Κεφαλλονιά;ΠΓΕ;Κεφαλληνίας;Ιονίων νήσων;20.59880133;38.24793863
95;Τυριά;Μπάτζος;ΠΟΠ;Κιλκίς;Κεντρικής Μακεδονίας;22.75904491;41.02660615
96;Τυριά;Φέτα;ΠΟΠ;Κιλκίς;Κεντρικής Μακεδονίας;22.75904491;41.02660615
97;Τυριά;Κασέρι;ΠΟΠ;Κιλκίς;Κεντρικής Μακεδονίας;22.75904491;41.02660615
98;Τυριά;Μανούρι;ΠΟΠ;Κιλκίς;Κεντρικής Μακεδονίας;22.75904491;41.02660615
99;Αρωματικά;Κρόκος Κοζάνης;ΠΓΕ;Κοζάνης;Δυτικής Μακεδονίας;21.7049927;40.31555271
