year,country,wine_type,activity_type,quantity
2011,Hungary,Wine - Total,Vinegar manufacture (1000 hl),0
2011,Hungary,Wine - Total,Imports0 bottled (1000 hl),0.4
2011,Hungary,Wine - Total,Exports0 bottled (1000 hl),43.8
2011,Hungary,Red and rose wine,Official production (1000 hl),0
2011,Hungary,Red and rose wine,Most intended for the production of grape juice (1000 hl),0
2011,Hungary,Red and rose wine,Usable production (1000 hl),0
2011,Hungary,Red and rose wine,Total production other than for vinification (1000 hl),0
2011,Hungary,Red and rose wine,Losses from evaporation (1000 hl),0
2011,Hungary,Red and rose wine,Imports from EU (1000 t),0
2011,Hungary,Red and rose wine,Imports from third countries (1000 hl),0
2011,Hungary,Red and rose wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2011,Hungary,Red and rose wine,Gross human consumption (1000 hl),0
2011,Hungary,Red and rose wine,Degree of self-sufficiency (%),0
2011,Hungary,Red and rose wine,Vinegar manufacture (1000 hl),0
2011,Hungary,Red and rose wine,Imports0 bottled (1000 hl),0
2011,Hungary,Red and rose wine,Exports0 bottled (1000 hl),0
2011,Hungary,White wine,Official production (1000 hl),0
2011,Hungary,White wine,Most intended for the production of grape juice (1000 hl),0
2011,Hungary,White wine,Usable production (1000 hl),1192.7
