"approval_code","business_name","location","prefecture_name_gr","region_name_gr","activity","latitude","longitude"
"GR-251","ΚΩΝ. ΚΥΡΙΑΚΟΥΛΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-204","ΚΩΝ/ΝΟΣ ΚΟΥΦΙΩΤΗΣ","Αγία Παρασκευή","Φθιώτιδας","Στερεάς Ελλάδας","EPC",38.0042329,23.8238423878732
"GR-180","ΚΛΕΟΜΕΝΗΣ ΠΑΠΑΓΙΑΝΝΟΠΟΥΛΟΣ","Μυστράς","Λακωνίας","Πελοποννήσου","EPC",37.0688795,22.3759408
"GR-169","ΓΕΩΡΓΙΑ Γ. ΤΟΥΡΛΟΥΚΗ&ΣΙΑ Ε.Ε.","Μαντίνεια","Αρκαδίας","Πελοποννήσου","EPC",37.6182611,22.3928797306963
"GR-188","ΣΩΤ.ΣΤΑΥΡΙΝΟΥΔΗΣ","Κάμπος","Χίου","Βορείου Αιγαίου","EPC",36.9384565,22.2025305
"GR-213","ΑΝΤ. ΜΑΝΩΛΙΤΣΑΚΗΣ","Κουρητών","Ρεθύμνου","Κρήτης","EPC",35.3336046,25.3028719
"GR-196","ΚΩΝ.ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΥ","Λιδωρίκι","Φωκίδας","Στερεάς Ελλάδας","EPC",38.5276063,22.2030735
"GR-9","ΛΟΥΚΑΣ ΑΡΓΥΡΙΟΥ","Μαυρομάτι","Βοιωτίας","Στερεάς Ελλάδας","EPC",38.3289725,23.1389641
"ΕL-284","ΓΑΛΑΝΗ ΑΡΙΣΤΕΑ","Κρανούλα","Ιωαννίνων","Ηπείρου","EPC",39.7449293,20.7942553
"EL-97","ZAΠΡΑΣ ΑΘΑΝΑΣΙΟΣ-ΖΑΠΡΑΣ ΧΡΗΣΤΟΣ","Ωραιόκαστρο","Θεσσαλονίκης","Κεντρικής Μακεδονίας","EPC",39.9872013,20.5520244
"GR-156","ΔΗΜΗΤΡΙΟΣ ΠΕΤΡΟΥ","Νεοχωρούδα","Θεσσαλονίκης","Κεντρικής Μακεδονίας","EPC",40.7375617,22.876048
"GR-194","ΑΙΚ. ΑΡΑΜΠΑΤΖΗ","Βασιλικά","Θεσσαλονίκης","Κεντρικής Μακεδονίας","EPC",40.4797064,23.1360321
